house_cnt	adm_cd	adm_nm	age	age_nm
224	11010530	사직동	10	노후30_40년
26	11010540	삼청동	10	노후30_40년
845	11010550	부암동	10	노후30_40년
1361	11010560	평창동	10	노후30_40년
29	11010570	무악동	10	노후30_40년
17	11010580	교남동	10	노후30_40년
18	11010600	가회동	10	노후30_40년
46	11010610	종로1·2·3·4가동	10	노후30_40년
187	11010630	종로5·6가동	10	노후30_40년
252	11010640	이화동	10	노후30_40년
102	11010670	창신1동	10	노후30_40년
240	11010680	창신2동	10	노후30_40년
127	11010690	창신3동	10	노후30_40년
183	11010700	숭인1동	10	노후30_40년
98	11010710	숭인2동	10	노후30_40년
297	11010720	청운효자동	10	노후30_40년
269	11010730	혜화동	10	노후30_40년
0	11020520	소공동	10	노후30_40년
43	11020540	회현동	10	노후30_40년
29	11020550	명동	10	노후30_40년
312	11020570	필동	10	노후30_40년
109	11020580	장충동	10	노후30_40년
20	11020590	광희동	10	노후30_40년
9	11020600	을지로동	10	노후30_40년
161	11020650	신당5동	10	노후30_40년
185	11020670	황학동	10	노후30_40년
279	11020680	중림동	10	노후30_40년
213	11020690	신당동	10	노후30_40년
385	11020700	다산동	10	노후30_40년
140	11020710	약수동	10	노후30_40년
118	11020720	청구동	10	노후30_40년
86	11020730	동화동	10	노후30_40년
462	11030510	후암동	10	노후30_40년
1043	11030520	용산2가동	10	노후30_40년
91	11030530	남영동	10	노후30_40년
128	11030570	원효로2동	10	노후30_40년
234	11030580	효창동	10	노후30_40년
66	11030590	용문동	10	노후30_40년
136	11030640	이촌2동	10	노후30_40년
773	11030650	이태원1동	10	노후30_40년
405	11030660	이태원2동	10	노후30_40년
1521	11030690	서빙고동	10	노후30_40년
788	11030700	보광동	10	노후30_40년
769	11030710	청파동	10	노후30_40년
92	11030720	원효로1동	10	노후30_40년
169	11030730	한강로동	10	노후30_40년
598	11030740	한남동	10	노후30_40년
732	11040520	왕십리2동	10	노후30_40년
1402	11040540	마장동	10	노후30_40년
510	11040550	사근동	10	노후30_40년
212	11040560	행당1동	10	노후30_40년
42	11040570	행당2동	10	노후30_40년
1881	11040580	응봉동	10	노후30_40년
17	11040590	금호1가동	10	노후30_40년
218	11040620	금호4가동	10	노후30_40년
923	11040650	성수1가1동	10	노후30_40년
475	11040660	성수1가2동	10	노후30_40년
850	11040670	성수2가1동	10	노후30_40년
163	11040680	성수2가3동	10	노후30_40년
270	11040690	송정동	10	노후30_40년
261	11040700	용답동	10	노후30_40년
176	11040710	왕십리도선동	10	노후30_40년
366	11040720	금호2·3가동	10	노후30_40년
2059	11040730	옥수동	10	노후30_40년
617	11050530	화양동	10	노후30_40년
489	11050540	군자동	10	노후30_40년
313	11050550	중곡1동	10	노후30_40년
441	11050560	중곡2동	10	노후30_40년
368	11050570	중곡3동	10	노후30_40년
758	11050580	중곡4동	10	노후30_40년
127	11050590	능동	10	노후30_40년
387	11050600	구의1동	10	노후30_40년
447	11050610	구의2동	10	노후30_40년
211	11050620	구의3동	10	노후30_40년
3952	11050630	광장동	10	노후30_40년
642	11050640	자양1동	10	노후30_40년
874	11050650	자양2동	10	노후30_40년
2016	11050660	자양3동	10	노후30_40년
762	11050670	자양4동	10	노후30_40년
909	11060710	회기동	10	노후30_40년
111	11060720	휘경1동	10	노후30_40년
689	11060730	휘경2동	10	노후30_40년
616	11060800	청량리동	10	노후30_40년
389	11060810	용신동	10	노후30_40년
601	11060820	제기동	10	노후30_40년
631	11060830	전농1동	10	노후30_40년
86	11060840	전농2동	10	노후30_40년
825	11060860	답십리2동	10	노후30_40년
1038	11060870	장안1동	10	노후30_40년
1246	11060880	장안2동	10	노후30_40년
425	11060890	이문1동	10	노후30_40년
80	11060900	이문2동	10	노후30_40년
608	11060910	답십리1동	10	노후30_40년
1855	11070520	면목2동	10	노후30_40년
356	11070540	면목4동	10	노후30_40년
156	11070550	면목5동	10	노후30_40년
420	11070570	면목7동	10	노후30_40년
220	11070590	상봉1동	10	노후30_40년
347	11070600	상봉2동	10	노후30_40년
632	11070610	중화1동	10	노후30_40년
844	11070620	중화2동	10	노후30_40년
486	11070640	묵1동	10	노후30_40년
226	11070650	묵2동	10	노후30_40년
455	11070680	망우3동	10	노후30_40년
344	11070690	신내1동	10	노후30_40년
0	11070700	신내2동	10	노후30_40년
806	11070710	면목본동	10	노후30_40년
1550	11070720	면목3·8동	10	노후30_40년
1451	11070730	망우본동	10	노후30_40년
148	11080580	돈암1동	10	노후30_40년
15	11080590	돈암2동	10	노후30_40년
451	11080600	안암동	10	노후30_40년
90	11080610	보문동	10	노후30_40년
213	11080620	정릉1동	10	노후30_40년
616	11080630	정릉2동	10	노후30_40년
873	11080640	정릉3동	10	노후30_40년
376	11080650	정릉4동	10	노후30_40년
280	11080660	길음1동	10	노후30_40년
56	11080680	길음2동	10	노후30_40년
228	11080710	월곡1동	10	노후30_40년
333	11080720	월곡2동	10	노후30_40년
411	11080760	장위1동	10	노후30_40년
571	11080770	장위2동	10	노후30_40년
164	11080780	장위3동	10	노후30_40년
576	11080810	성북동	10	노후30_40년
307	11080820	삼선동	10	노후30_40년
200	11080830	동선동	10	노후30_40년
450	11080840	종암동	10	노후30_40년
289	11080850	석관동	10	노후30_40년
256	11090600	번1동	10	노후30_40년
1760	11090610	번2동	10	노후30_40년
1248	11090620	번3동	10	노후30_40년
728	11090630	수유1동	10	노후30_40년
458	11090640	수유2동	10	노후30_40년
496	11090650	수유3동	10	노후30_40년
526	11090690	삼양동	10	노후30_40년
1139	11090700	미아동	10	노후30_40년
1830	11090710	송중동	10	노후30_40년
410	11090720	송천동	10	노후30_40년
15	11090730	삼각산동	10	노후30_40년
646	11090740	우이동	10	노후30_40년
1527	11090750	인수동	10	노후30_40년
1305	11100510	쌍문1동	10	노후30_40년
2268	11100520	쌍문2동	10	노후30_40년
1108	11100530	쌍문3동	10	노후30_40년
3460	11100540	쌍문4동	10	노후30_40년
485	11100550	방학1동	10	노후30_40년
1188	11100560	방학2동	10	노후30_40년
3786	11100570	방학3동	10	노후30_40년
2117	11100590	창1동	10	노후30_40년
256	11100600	창2동	10	노후30_40년
298	11100610	창3동	10	노후30_40년
5004	11100620	창4동	10	노후30_40년
2613	11100630	창5동	10	노후30_40년
1418	11100640	도봉1동	10	노후30_40년
1123	11100650	도봉2동	10	노후30_40년
1719	11110510	월계1동	10	노후30_40년
158	11110520	월계2동	10	노후30_40년
4616	11110530	월계3동	10	노후30_40년
815	11110560	공릉2동	10	노후30_40년
3557	11110580	하계1동	10	노후30_40년
5573	11110590	하계2동	10	노후30_40년
299	11110600	중계본동	10	노후30_40년
0	11110610	중계1동	10	노후30_40년
23	11110640	중계4동	10	노후30_40년
165	11110650	상계1동	10	노후30_40년
426	11110660	상계2동	10	노후30_40년
3823	11110690	상계5동	10	노후30_40년
8838	11110720	상계8동	10	노후30_40년
8002	11110730	상계9동	10	노후30_40년
6163	11110740	상계10동	10	노후30_40년
292	11110760	상계3·4동	10	노후30_40년
12483	11110770	상계6·7동	10	노후30_40년
6014	11110780	중계2·3동	10	노후30_40년
387	11110790	공릉1동	10	노후30_40년
723	11120510	녹번동	10	노후30_40년
2442	11120520	불광1동	10	노후30_40년
728	11120550	갈현1동	10	노후30_40년
602	11120560	갈현2동	10	노후30_40년
616	11120570	구산동	10	노후30_40년
636	11120580	대조동	10	노후30_40년
514	11120590	응암1동	10	노후30_40년
282	11120600	응암2동	10	노후30_40년
393	11120650	신사1동	10	노후30_40년
1407	11120660	신사2동	10	노후30_40년
580	11120670	증산동	10	노후30_40년
259	11120680	수색동	10	노후30_40년
0	11120710	진관동	10	노후30_40년
958	11120720	불광2동	10	노후30_40년
1823	11120730	응암3동	10	노후30_40년
853	11120740	역촌동	10	노후30_40년
74	11130520	천연동	10	노후30_40년
497	11130620	홍제1동	10	노후30_40년
496	11130640	홍제3동	10	노후30_40년
83	11130650	홍제2동	10	노후30_40년
1452	11130660	홍은1동	10	노후30_40년
1972	11130680	홍은2동	10	노후30_40년
16	11130690	남가좌1동	10	노후30_40년
408	11130700	남가좌2동	10	노후30_40년
881	11130710	북가좌1동	10	노후30_40년
642	11130720	북가좌2동	10	노후30_40년
560	11130730	충현동	10	노후30_40년
107	11130740	북아현동	10	노후30_40년
525	11130750	신촌동	10	노후30_40년
1517	11130760	연희동	10	노후30_40년
316	11140590	용강동	10	노후30_40년
303	11140600	대흥동	10	노후30_40년
129	11140610	염리동	10	노후30_40년
243	11140630	신수동	10	노후30_40년
540	11140660	서교동	10	노후30_40년
916	11140680	합정동	10	노후30_40년
762	11140690	망원1동	10	노후30_40년
556	11140700	망원2동	10	노후30_40년
351	11140710	연남동	10	노후30_40년
556	11140720	성산1동	10	노후30_40년
4169	11140730	성산2동	10	노후30_40년
16	11140740	상암동	10	노후30_40년
91	11140750	도화동	10	노후30_40년
363	11140760	서강동	10	노후30_40년
1396	11140770	공덕동	10	노후30_40년
677	11140780	아현동	10	노후30_40년
2541	11150510	목1동	10	노후30_40년
598	11150520	목2동	10	노후30_40년
337	11150530	목3동	10	노후30_40년
588	11150540	목4동	10	노후30_40년
1144	11150570	신월1동	10	노후30_40년
1216	11150580	신월2동	10	노후30_40년
1099	11150590	신월3동	10	노후30_40년
408	11150600	신월4동	10	노후30_40년
604	11150610	신월5동	10	노후30_40년
823	11150620	신월6동	10	노후30_40년
6827	11150630	신월7동	10	노후30_40년
4197	11150640	신정1동	10	노후30_40년
303	11150650	신정2동	10	노후30_40년
400	11150660	신정3동	10	노후30_40년
6592	11150690	신정6동	10	노후30_40년
3363	11150700	신정7동	10	노후30_40년
9443	11150710	목5동	10	노후30_40년
629	11150720	신정4동	10	노후30_40년
503	11160510	염창동	10	노후30_40년
245	11160520	등촌1동	10	노후30_40년
508	11160530	등촌2동	10	노후30_40년
819	11160550	화곡본동	10	노후30_40년
310	11160570	화곡2동	10	노후30_40년
261	11160580	화곡3동	10	노후30_40년
537	11160590	화곡4동	10	노후30_40년
794	11160610	화곡6동	10	노후30_40년
693	11160630	화곡8동	10	노후30_40년
296	11160640	가양1동	10	노후30_40년
407	11160650	가양2동	10	노후30_40년
278	11160670	발산1동	10	노후30_40년
416	11160690	공항동	10	노후30_40년
711	11160700	방화1동	10	노후30_40년
895	11160710	방화2동	10	노후30_40년
63	11160720	방화3동	10	노후30_40년
1277	11160730	화곡1동	10	노후30_40년
327	11160740	우장산동	10	노후30_40년
831	11170510	신도림동	10	노후30_40년
4212	11170520	구로1동	10	노후30_40년
486	11170540	구로3동	10	노후30_40년
1525	11170550	구로4동	10	노후30_40년
980	11170560	구로5동	10	노후30_40년
1604	11170610	고척1동	10	노후30_40년
949	11170620	고척2동	10	노후30_40년
363	11170640	개봉2동	10	노후30_40년
