house_cnt	adm_cd	adm_nm	area	area_nm
27	11010530	사직동	01	면적_20이하
13	11010540	삼청동	01	면적_20이하
20	11010550	부암동	01	면적_20이하
10	11010560	평창동	01	면적_20이하
0	11010570	무악동	01	면적_20이하
57	11010580	교남동	01	면적_20이하
63	11010600	가회동	01	면적_20이하
158	11010610	종로1·2·3·4가동	01	면적_20이하
271	11010630	종로5·6가동	01	면적_20이하
318	11010640	이화동	01	면적_20이하
93	11010670	창신1동	01	면적_20이하
69	11010680	창신2동	01	면적_20이하
8	11010690	창신3동	01	면적_20이하
34	11010700	숭인1동	01	면적_20이하
907	11010710	숭인2동	01	면적_20이하
90	11010720	청운효자동	01	면적_20이하
452	11010730	혜화동	01	면적_20이하
65	11020520	소공동	01	면적_20이하
53	11020540	회현동	01	면적_20이하
14	11020550	명동	01	면적_20이하
62	11020570	필동	01	면적_20이하
487	11020580	장충동	01	면적_20이하
203	11020590	광희동	01	면적_20이하
10	11020600	을지로동	01	면적_20이하
168	11020650	신당5동	01	면적_20이하
266	11020670	황학동	01	면적_20이하
259	11020680	중림동	01	면적_20이하
334	11020690	신당동	01	면적_20이하
124	11020700	다산동	01	면적_20이하
200	11020710	약수동	01	면적_20이하
138	11020720	청구동	01	면적_20이하
0	11020730	동화동	01	면적_20이하
163	11030510	후암동	01	면적_20이하
89	11030520	용산2가동	01	면적_20이하
159	11030530	남영동	01	면적_20이하
158	11030570	원효로2동	01	면적_20이하
104	11030580	효창동	01	면적_20이하
185	11030590	용문동	01	면적_20이하
0	11030630	이촌1동	01	면적_20이하
22	11030640	이촌2동	01	면적_20이하
51	11030650	이태원1동	01	면적_20이하
71	11030660	이태원2동	01	면적_20이하
36	11030690	서빙고동	01	면적_20이하
46	11030700	보광동	01	면적_20이하
379	11030710	청파동	01	면적_20이하
312	11030720	원효로1동	01	면적_20이하
716	11030730	한강로동	01	면적_20이하
125	11030740	한남동	01	면적_20이하
180	11040520	왕십리2동	01	면적_20이하
434	11040540	마장동	01	면적_20이하
606	11040550	사근동	01	면적_20이하
133	11040560	행당1동	01	면적_20이하
8	11040570	행당2동	01	면적_20이하
11	11040580	응봉동	01	면적_20이하
10	11040590	금호1가동	01	면적_20이하
19	11040620	금호4가동	01	면적_20이하
29	11040650	성수1가1동	01	면적_20이하
137	11040660	성수1가2동	01	면적_20이하
92	11040670	성수2가1동	01	면적_20이하
131	11040680	성수2가3동	01	면적_20이하
47	11040690	송정동	01	면적_20이하
237	11040700	용답동	01	면적_20이하
250	11040710	왕십리도선동	01	면적_20이하
47	11040720	금호2·3가동	01	면적_20이하
16	11040730	옥수동	01	면적_20이하
2126	11050530	화양동	01	면적_20이하
365	11050540	군자동	01	면적_20이하
185	11050550	중곡1동	01	면적_20이하
381	11050560	중곡2동	01	면적_20이하
163	11050570	중곡3동	01	면적_20이하
262	11050580	중곡4동	01	면적_20이하
274	11050590	능동	01	면적_20이하
413	11050600	구의1동	01	면적_20이하
155	11050610	구의2동	01	면적_20이하
327	11050620	구의3동	01	면적_20이하
17	11050630	광장동	01	면적_20이하
293	11050640	자양1동	01	면적_20이하
156	11050650	자양2동	01	면적_20이하
56	11050660	자양3동	01	면적_20이하
353	11050670	자양4동	01	면적_20이하
383	11060710	회기동	01	면적_20이하
879	11060720	휘경1동	01	면적_20이하
519	11060730	휘경2동	01	면적_20이하
141	11060800	청량리동	01	면적_20이하
923	11060810	용신동	01	면적_20이하
488	11060820	제기동	01	면적_20이하
451	11060830	전농1동	01	면적_20이하
81	11060840	전농2동	01	면적_20이하
243	11060860	답십리2동	01	면적_20이하
760	11060870	장안1동	01	면적_20이하
140	11060880	장안2동	01	면적_20이하
