house_cnt	adm_cd	adm_nm	type	type_nm
2587	11010530	사직동	00	전체
698	11010540	삼청동	00	전체
2996	11010550	부암동	00	전체
5601	11010560	평창동	00	전체
2824	11010570	무악동	00	전체
3713	11010580	교남동	00	전체
1390	11010600	가회동	00	전체
1544	11010610	종로1·2·3·4가동	00	전체
1265	11010630	종로5·6가동	00	전체
2501	11010640	이화동	00	전체
1538	11010670	창신1동	00	전체
2424	11010680	창신2동	00	전체
2129	11010690	창신3동	00	전체
1570	11010700	숭인1동	00	전체
3131	11010710	숭인2동	00	전체
3848	11010720	청운효자동	00	전체
5062	11010730	혜화동	00	전체
754	11020520	소공동	00	전체
1527	11020540	회현동	00	전체
535	11020550	명동	00	전체
1130	11020570	필동	00	전체
2048	11020580	장충동	00	전체
1737	11020590	광희동	00	전체
277	11020600	을지로동	00	전체
3330	11020650	신당5동	00	전체
3778	11020670	황학동	00	전체
4178	11020680	중림동	00	전체
2377	11020690	신당동	00	전체
4503	11020700	다산동	00	전체
6532	11020710	약수동	00	전체
4823	11020720	청구동	00	전체
3144	11020730	동화동	00	전체
5237	11030510	후암동	00	전체
2986	11030520	용산2가동	00	전체
1694	11030530	남영동	00	전체
4525	11030570	원효로2동	00	전체
3465	11030580	효창동	00	전체
4205	11030590	용문동	00	전체
8614	11030630	이촌1동	00	전체
3177	11030640	이촌2동	00	전체
2086	11030650	이태원1동	00	전체
2827	11030660	이태원2동	00	전체
4038	11030690	서빙고동	00	전체
3433	11030700	보광동	00	전체
5812	11030710	청파동	00	전체
5161	11030720	원효로1동	00	전체
7226	11030730	한강로동	00	전체
7165	11030740	한남동	00	전체
4981	11040520	왕십리2동	00	전체
6586	11040540	마장동	00	전체
3164	11040550	사근동	00	전체
4342	11040560	행당1동	00	전체
8302	11040570	행당2동	00	전체
5181	11040580	응봉동	00	전체
5803	11040590	금호1가동	00	전체
5074	11040620	금호4가동	00	전체
5002	11040650	성수1가1동	00	전체
3496	11040660	성수1가2동	00	전체
4247	11040670	성수2가1동	00	전체
2919	11040680	성수2가3동	00	전체
2343	11040690	송정동	00	전체
2059	11040700	용답동	00	전체
8425	11040710	왕십리도선동	00	전체
7340	11040720	금호2·3가동	00	전체
9579	11040730	옥수동	00	전체
5345	11050530	화양동	00	전체
4591	11050540	군자동	00	전체
3663	11050550	중곡1동	00	전체
5051	11050560	중곡2동	00	전체
3974	11050570	중곡3동	00	전체
7453	11050580	중곡4동	00	전체
2615	11050590	능동	00	전체
5298	11050600	구의1동	00	전체
7437	11050610	구의2동	00	전체
8889	11050620	구의3동	00	전체
10170	11050630	광장동	00	전체
5443	11050640	자양1동	00	전체
6991	11050650	자양2동	00	전체
8477	11050660	자양3동	00	전체
4950	11050670	자양4동	00	전체
3257	11060710	회기동	00	전체
4544	11060720	휘경1동	00	전체
6996	11060730	휘경2동	00	전체
5949	11060800	청량리동	00	전체
8462	11060810	용신동	00	전체
7841	11060820	제기동	00	전체
8326	11060830	전농1동	00	전체
6320	11060840	전농2동	00	전체
9342	11060860	답십리2동	00	전체
11640	11060870	장안1동	00	전체
9758	11060880	장안2동	00	전체
4915	11060890	이문1동	00	전체
6106	11060900	이문2동	00	전체
9098	11060910	답십리1동	00	전체
6425	11070520	면목2동	00	전체
5613	11070540	면목4동	00	전체
4423	11070550	면목5동	00	전체
6263	11070570	면목7동	00	전체
7882	11070590	상봉1동	00	전체
6440	11070600	상봉2동	00	전체
5738	11070610	중화1동	00	전체
6234	11070620	중화2동	00	전체
10815	11070640	묵1동	00	전체
5324	11070650	묵2동	00	전체
3646	11070680	망우3동	00	전체
12506	11070690	신내1동	00	전체
8128	11070700	신내2동	00	전체
8785	11070710	면목본동	00	전체
