시군구,행정동,총종사자수,총종사자수_2021
소계,소계,5868926,5771226
종로구,소계,284570,275063
종로구,사직동,53401,56013
종로구,삼청동,4854,4978
종로구,부암동,3779,3762
종로구,평창동,4462,4321
종로구,무악동,1929,1891
종로구,교남동,7421,8371
종로구,가회동,13958,14180
종로구,종로1.2.3.4가동,115769,107067
종로구,종로5.6가동,25071,22872
종로구,이화동,18742,17365
종로구,창신1동,6459,6266
종로구,창신2동,2366,2192
종로구,창신3동,899,1128
종로구,숭인1동,1867,1897
종로구,숭인2동,7142,6053
종로구,청운효자동,7446,7888
종로구,혜화동,9005,8819
중구,소계,408064,386564
중구,소공동,71679,64308
중구,회현동,48083,46229
중구,명동,114910,110506
중구,필동,22627,24470
중구,장충동,8965,9357
중구,광희동,37068,34741
중구,을지로동,36108,31528
중구,신당5동,3953,4149
중구,황학동,6167,5992
중구,중림동,8540,9166
중구,신당동,27157,23988
중구,다산동,8857,8723
중구,약수동,5047,4519
중구,청구동,4482,4497
중구,동화동,4421,4391
용산구,소계,154288,152605
용산구,후암동,4625,4605
용산구,용산2가동,2461,2129
용산구,남영동,19415,18439
용산구,원효로2동,7441,7229
용산구,효창동,2558,2596
용산구,용문동,2096,2159
용산구,이촌1동,4005,4107
용산구,이촌2동,1196,1183
용산구,이태원1동,6766,6544
용산구,이태원2동,3163,3282
용산구,서빙고동,5890,6126
용산구,보광동,2409,2365
용산구,청파동,10582,9850
용산구,원효로1동,12606,12179
용산구,한강로동,47087,48562
용산구,한남동,21988,21250
성동구,소계,196377,203221
성동구,왕십리2동,3024,2948
성동구,마장동,12515,12518
성동구,사근동,11255,10537
성동구,행당1동,8348,9587
성동구,행당2동,2320,2412
성동구,응봉동,1316,1162
성동구,금호1가동,2364,2416
성동구,금호4가동,2350,2294
성동구,성수1가1동,12326,14473
성동구,성수1가2동,24522,26199
성동구,성수2가1동,18462,20402
성동구,성수2가3동,62198,63385
성동구,송정동,3326,2879
성동구,용답동,12824,12834
성동구,왕십리도선동,11565,11495
성동구,금호2.3가동,2939,2963
성동구,옥수동,4723,4717
광진구,소계,134230,129707
광진구,화양동,14860,16195
광진구,군자동,12530,9834
광진구,중곡1동,6853,6363
광진구,중곡2동,7723,7380
광진구,중곡3동,4915,5019
광진구,중곡4동,5420,4257
광진구,능동,6224,6229
광진구,구의1동,7457,7443
광진구,구의2동,6037,5989
광진구,구의3동,18496,16217
광진구,광장동,11411,14269
광진구,자양1동,10495,9645
광진구,자양2동,6864,7033
광진구,자양3동,7565,7600
광진구,자양4동,7380,6234
동대문구,소계,148308,146383
동대문구,회기동,10041,10348
동대문구,휘경1동,3603,3690
동대문구,휘경2동,5170,5457
동대문구,청량리동,8277,8278
동대문구,용신동,31040,30470
동대문구,제기동,13810,13094
동대문구,전농1동,7560,7638
동대문구,전농2동,5252,5460
동대문구,답십리1동,10947,9651
동대문구,답십리2동,8599,8207
동대문구,장안1동,23427,22326
동대문구,장안2동,13402,12725
동대문구,이문1동,4811,6654
동대문구,이문2동,2369,2385
중랑구,소계,111086,113144
중랑구,면목2동,6486,5975
중랑구,면목4동,5092,4971
중랑구,면목5동,3374,3336
중랑구,면목7동,4553,4800
중랑구,상봉1동,6769,6705
중랑구,상봉2동,9998,9431
중랑구,중화1동,4438,4476
중랑구,중화2동,6651,7044
중랑구,묵1동,6547,6252
중랑구,묵2동,5115,4973
중랑구,망우3동,3942,4272
중랑구,신내1동,13009,15420
중랑구,신내2동,6456,7186
중랑구,면목본동,7868,7511
중랑구,면목3.8동,7891,7878
중랑구,망우본동,12897,12914
성북구,소계,121798,124004
성북구,돈암1동,2152,2087
성북구,돈암2동,2911,2893
성북구,안암동,11034,14353
성북구,보문동,6309,6720
성북구,정릉1동,2638,2752
성북구,정릉2동,3599,3344
성북구,정릉3동,5560,5404
성북구,정릉4동,4646,5018
성북구,길음1동,4486,4419
성북구,길음2동,5852,5554
성북구,월곡1동,5845,5848
성북구,월곡2동,9910,11083
성북구,장위1동,2898,3104
성북구,장위2동,3868,3865
성북구,장위3동,2705,2429
성북구,성북동,6698,6288
성북구,삼선동,10363,11157
성북구,동선동,11979,10483
성북구,종암동,8941,8433
성북구,석관동,9404,8770
강북구,소계,83276,80222
강북구,번1동,10089,10192
강북구,번2동,3766,3732
강북구,번3동,5415,3302
강북구,수유1동,5755,5815
강북구,수유2동,4830,4637
강북구,수유3동,9328,9873
강북구,삼양동,5189,4104
강북구,미아동,7246,6971
강북구,송중동,8850,8752
강북구,송천동,8272,7730
강북구,삼각산동,2941,2949
강북구,우이동,5100,5515
강북구,인수동,6495,6650
도봉구,소계,79429,79097
도봉구,쌍문1동,4605,4787
도봉구,쌍문2동,5866,5781
도봉구,쌍문3동,4312,4323
도봉구,쌍문4동,2444,2236
도봉구,방학1동,13797,13758
도봉구,방학2동,3661,3226
도봉구,방학3동,3739,3861
도봉구,창1동,4198,4381
도봉구,창2동,5091,4978
도봉구,창3동,2663,2511
도봉구,창4동,7883,7981
도봉구,창5동,7726,7316
도봉구,도봉1동,6018,6178
도봉구,도봉2동,7426,7780
노원구,소계,127454,133398
노원구,월계1동,6915,6647
노원구,월계2동,3833,3961
노원구,월계3동,4564,4525
노원구,공릉2동,13019,13078
노원구,하계1동,8224,8965
노원구,하계2동,1606,1687
노원구,중계본동,5650,5840
노원구,중계1동,4428,4522
노원구,중계4동,4152,4285
노원구,상계1동,10700,11608
노원구,상계2동,10319,11074
노원구,상계5동,6437,6516
노원구,상계8동,2008,1943
노원구,상계9동,2582,2848
노원구,상계10동,2515,2515
노원구,상계3.4동,4802,4821
노원구,상계6.7동,15981,18222
노원구,중계2.3동,5644,5777
노원구,공릉1동,14075,14564
은평구,소계,108362,109031
은평구,녹번동,12265,13682
은평구,불광1동,7200,7000
은평구,갈현1동,5311,5306
은평구,갈현2동,6727,6776
은평구,구산동,6545,6219
은평구,대조동,8189,7968
은평구,응암1동,8658,8853
은평구,응암2동,2852,3096
은평구,신사1동,4867,5162
은평구,신사2동,4317,4261
은평구,증산동,4599,4363
은평구,수색동,2411,2760
은평구,진관동,13728,13270
은평구,불광2동,4869,4933
은평구,응암3동,6627,6002
은평구,역촌동,9197,9380
서대문구,소계,120347,118256
서대문구,천연동,3305,3259
서대문구,홍제1동,5034,5601
서대문구,홍제3동,3958,3882
서대문구,홍제2동,2314,2259
서대문구,홍은1동,3209,3187
서대문구,홍은2동,6748,6630
서대문구,남가좌1동,2552,2718
서대문구,남가좌2동,7235,5698
서대문구,북가좌1동,3763,3745
서대문구,북가좌2동,6333,6468
서대문구,충현동,25219,23946
서대문구,북아현동,2696,2656
서대문구,신촌동,35099,34964
서대문구,연희동,12882,13243
마포구,소계,285083,279788
마포구,용강동,23976,23581
마포구,대흥동,9867,9808
마포구,염리동,5306,5256
마포구,신수동,7410,7126
마포구,서교동,61995,61160
마포구,합정동,13328,13457
마포구,망원1동,6955,6549
마포구,망원2동,5214,4844
